Case,Quadrat number,Agrocani,Antedioi,Anthodor,Baldalpe,Callpalu,Callvulg,Careechi,Carelepo,Carenigr,Carerost,Drosrotu,Eleoacic,Erictetr,Euphmini,Festiber,Gagesole,Galisaxa,Isoeechi,Jasilaev,Juncbulb,Juncsqua,Junctena,Luzumult,Lythport,Mofon,Narcbulb,Nardstri,Phythemi,Pilogall,Planalpi,Polyvulg,Poteerec,Ranuaqua,Rumeacet,Sedubrev,Sparangu,Stelalsi,Vaccmyrt,Violpalu
1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,81,0,0,0,0,3,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,1,0,0,0,0,0,0,1,65,0,0,0,2,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,77,1,0,0,0,0,0,0,1,0,0,0,0
4,10,0,0,0,0,0,2,0,0,3,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,75,1,1,0,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,2,4,36,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,1,63,0,0,0,1,4,0,0,0,0,0,11,0
7,17,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,55,0,0,0,1,0,0,0,0,0,0,0,0
8,20,0,0,0,0,0,2,0,0,3,0,0,0,0,1,8,0,3,0,1,0,0,0,0,0,0,1,72,1,0,0,1,1,0,1,0,0,0,0,0
9,23,0,0,0,0,0,0,3,0,30,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0
10,24,0,0,0,0,0,35,0,0,0,0,0,0,3,0,3,1,1,0,0,0,5,0,0,0,0,1,45,0,0,0,1,5,0,0,0,0,0,0,0
11,25,0,0,0,0,0,4,0,0,2,0,0,0,3,0,2,0,1,0,0,0,50,0,0,0,0,1,30,0,0,0,0,3,0,0,0,0,0,0,0
12,28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0,0,28,0,0,0,0,1,46,0,0,0,1,3,0,0,0,0,0,0,0
13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
