Case,Quadrat,AWTD,pH,Phosphorous,Calcium,Potassium,Magnesium,Sodium
1,4,0.445,4.56,41.21,1.52,0.45,0.61,0
2,8,0.69,4.28,53.49,0.84,0.27,0.48,0.02
3,9,0.685,4.06,7.06,12.95,2.44,5.47,0.16
4,10,0.697,4.08,17.03,10.18,2.45,4.44,0.13
5,11,0.367,4.41,45.02,8.16,0.17,2.03,0
6,16,0.549,4.45,52.21,0.82,0.31,0.45,0
7,17,0.673,4.24,69.61,1.29,0.36,0.69,0.02
8,20,0.625,4.9,18.88,1,0.61,0.63,0.07
9,23,0.389,4.47,47.56,34.61,3.28,8.9,1.07
10,24,0.474,4.06,59.8,0.35,0.18,0.35,0
11,25,0.503,4.4,29.98,1.57,0.14,0.33,0
12,28,0.553,4.33,38.77,1.29,0.26,0.52,0
13,31,0.168,4.41,21.22,3.44,0.26,1.01,0.09
14,33,0.385,4.39,31.91,3.91,0.71,1.32,0.03
15,34,0.376,4.09,43.32,1.53,0.32,0.72,0
16,37,0.363,4.19,66.37,8.23,2.68,2.94,0.16
17,38,0.472,4.18,34.29,1.15,0.45,0.56,0.05
18,41,0.262,4.5,14.1,5.4,0.16,1.34,0.05
19,43,0.422,4.92,38.23,0.11,0.24,0.16,0.04
20,45,0.432,4.25,40.59,0.55,0.14,0.43,0
21,49,0.612,4.24,28.68,12.14,1.91,5.13,0.04
22,51,0.279,4.76,14.56,4.51,0.23,1.1,0.02
23,55,0.527,4.36,50.26,0.67,0.3,0.33,0.04
24,58,0.48,4.08,36.91,4.66,1.33,2.01,0.09
25,65,0.416,3.95,57.51,1.99,0.44,0.83,0.09
26,67,0.509,4.08,7.59,12.1,3.48,4.97,0.26
27,69,0.377,4.49,13.13,11.03,1.91,3.61,0.1
28,146,0.27,5.46,98.59,8.12,0.51,2.64,0.06
29,147,0.315,4.16,30.21,68.69,2.83,15.13,0.46
30,148,0.228,4.67,5.99,1.24,0.01,0.28,0.12
31,155,0.201,4.46,14.59,8.46,0.19,2.04,0
32,159,0.331,4.17,14.52,3.09,0,0.68,0
33,160,0.349,4.55,41.83,3.65,0,1.38,0
34,161,0.278,4.38,33.79,4.96,0.06,1.37,0
35,164,0.2,4.51,35.9,19.33,1.44,5.11,0.43
36,169,0.232,4.36,19.65,21.42,1.21,4.73,0.41
37,171,0.255,4.43,22.35,15.58,0.85,2.93,0.13
38,172,0.323,4.5,18.32,19.74,1.04,5.04,0.22
