Date Collected,Season,Sample ID,Habitat,Weightdip1 (g),Weightdip2 (g),Hair Net Weight (g),Clod Volume (mL),Weightoven (g),Weightrocks (g),Soil Density g/mL,Percent C (%),Percent N (%),Total C (g/m2),Total N (g/m2),Notes
10/18/2016,Fall,ZR-CSS-01,Coastal Sage Scrub,10.704,11.807,1.697,11,9.917,0.166,0.588433718,3.65,0.32,2147.783071,188.2987898,
10/18/2016,Fall,ZR-CSS-02,Coastal Sage Scrub,22.162,23.615,0.77,16,22.42,1.622,1.081751138,4.52,0.39,4889.515144,421.8829438,
10/18/2016,Fall,ZR-CSS-03,Coastal Sage Scrub,33.458,34.939,0.528,28,33.955,2.76,0.992974649,4.47,0.37,4438.59668,367.40062,
10/18/2016,Fall,ZR-CSS-04,Coastal Sage Scrub,30.968,32.522,0.544,30,31.56,1.23,0.892867536,4.99,0.37,4455.409004,330.3609883,
10/18/2016,Fall,ZR-CSS-05,Coastal Sage Scrub,47.534,49.598,0.578,47,48.445,2.501,0.879731914,4.73,0.39,4161.131951,343.0954463,
10/18/2016,Fall,ZR-CSS-06,Coastal Sage Scrub,58.331,62.108,0.658,48,60.608,3.982,1.012756915,3.78,0.3,3828.22114,303.8270746,
10/18/2016,Fall,ZR-NNG-01,Non-Native Grassland,51.749,54.146,0.981,47,52.468,1.121,0.97342487,3.56,0.27,3465.392538,262.824715,
10/18/2016,Fall,ZR-NNG-02,Non-Native Grassland,31.41,32.979,0.495,24,32.094,1.34,1.134103854,3.75,0.29,4252.889452,328.8901177,
10/18/2016,Fall,ZR-NNG-03,Non-Native Grassland,36.351,39.28,1.03,31,37.685,1.266,0.961635274,4.17,0.33,4010.019091,317.3396403,
10/18/2016,Fall,ZR-NNG-04,Non-Native Grassland,39.029,43.01,1.063,39,41.372,5.449,0.698505374,4.06,0.31,2835.93182,216.5366661,
10/18/2016,Fall,ZR-NNG-05,Non-Native Grassland,32.51,34.536,0.742,28,33.229,2.266,0.941086674,3.19,0.25,3002.066489,235.2716684,
10/18/2016,Fall,ZR-NNG-06,Non-Native Grassland,10.231,10.951,0.461,8,10.274,0.423,1.008440177,3.06,0.26,3085.826941,262.1944459,
10/18/2016,Fall,SMM-CSS-01,Coastal Sage Scrub,51.172,53.306,0.702,50,52.416,3.721,0.876159588,4.83,0.36,4231.85081,315.4174517,
10/18/2016,Fall,SMM-CSS-02,Coastal Sage Scrub,28.397,29.491,0.609,29,28.811,1.152,0.859534238,3.45,0.28,2965.39312,240.6695866,
10/18/2016,Fall,SMM-CSS-03,Coastal Sage Scrub,74.918,78.32,1.354,73,75.705,7.525,0.825950475,4.76,0.35,3931.524263,289.0826664,
10/18/2016,Fall,SMM-CSS-04,Coastal Sage Scrub,50.591,52.35,0.711,48,51.48,1.880,0.946693362,3.58,0.28,3389.162236,265.0741414,
10/18/2016,Fall,SMM-CSS-05,Coastal Sage Scrub,79.58,82.018,0.761,74,80.975,5.861,0.939847083,2.88,0.23,2706.7596,216.1648291,
10/18/2016,Fall,SMM-CSS-06,Coastal Sage Scrub,74.747,77.499,0.531,73,76.701,9.039,0.845056737,3.87,0.29,3270.369574,245.0664539,
10/18/2016,Fall,SMM-NNG-01,Non-Native Mustard,20.441,22.107,0.577,21,21.397,0.510,0.814454452,5.46,0.45,4446.921308,366.5045034,
