Cuadrante,Ampelocera.hottlei,Brosimum.alicastrum,Castilla.elastica,Cupania.dentata,Guarea.excelsa,Guarea.grandifolia,Cojoba.arboreum,Licaria.capitata,Lonchocarpus.cruentus,Maclura.tinctoria,Quararibea.funebris,Spondias.mombin,Trophis.racemosa
1,3,0,0,0,0,0,0,1,0,0,0,0,3
2,14,3,0,0,0,0,0,0,1,0,0,0,1
3,0,23,0,0,2,0,0,0,0,0,0,0,1
4,2,37,0,0,0,0,0,0,0,0,0,0,0
5,15,3,0,0,0,2,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,1,0,1
7,2,0,0,0,0,0,0,0,0,0,1,0,0
8,3,0,0,0,1,0,0,0,0,0,0,1,0
9,3,0,0,0,0,0,1,0,0,2,0,0,0
10,5,3,1,1,0,0,0,0,0,0,0,0,0
