Cuadrante,Acacia.mayana,Calophyllum.brasilense,Cordia.odorata,Croton.schiedeanus,Cupania.dentata,Eugenia.edulis,Eugenia.mexicana,Hirtella.americana,Inga.punctata,Inga.velluda,Licania.hypoleuca,Pouteria.durlandii,Vochysia.guatemalensis,Xylopia.frutescens
1,0,0,0,0,0,0,3,0,0,0,0,1,0,0
2,0,1,0,0,0,4,3,0,1,0,0,1,1,0
3,0,0,0,0,0,0,2,2,0,0,2,0,3,0
4,1,1,0,2,0,0,3,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,2,1,0,1,1,0,0
6,0,0,0,0,0,0,7,0,0,2,0,0,2,0
7,0,5,0,1,1,0,0,0,0,0,0,1,1,1
8,0,0,0,1,0,0,6,1,0,0,2,0,0,0
9,0,0,2,5,0,0,8,0,0,0,2,0,0,0
10,0,0,0,1,0,0,10,1,0,0,0,0,1,0
