Cuadrante,Acacia.mayana,Ampelocera.hottlei,Annona.sp,Ardisia.paschalis,Calatola.costaricanum,Cordia.bicolor,Eugenia.mexicana,Guarea.glabra,Inga.punctata,Inga.vera,Lacistema.agreggatum,Lonchocarpus.cruentus,Maclura.tinctoria,Nectandra.ambigiens,Nectandra.reticulata,Pleuranthodendron.lindenii,Trophis.racemosa,Palo.blanco
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,4,0
2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,7,0
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,20,0
5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9,2,0,4,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0
10,3,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
