Cuadrante,Ampelocera.hottlei,Brosimum.alicastrum,Calatola.costaricanum,Castilla.elastica,Cupania.glabra,Dialium.guianense,Faramea.occidentalis,Garcinia.intermedia,Guarea.excelsa,Guarea.glabra,Inga.punctata,Licaria.capitata,Nectandra.ambigiens,Spondias.radlkoferi,Trophis.racemosa
1,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0
2,0,39,0,0,0,0,1,0,0,2,0,0,2,0,0
3,0,1,1,4,1,0,10,0,0,0,12,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
